grid_id,lte_min_rsrp,lte_mean_rsrp,lte_median_rsrp,lte_point_count,lte_signal_class,nr_min_rsrp,nr_mean_rsrp,nr_median_rsrp,nr_point_count,nr_signal_class,VV,VH,NDVI,NDBI,population,nightlight,tree_ratio,grass_ratio,crop_ratio,builtup_ratio,water_ratio,cell_count,operator_count,gsm_count,umts_count,lte_count,nr_count
96382,-46.85,-40.362007,-41.75,204.0,Excellent,-102.97,-60.51846,-56.89,395.0,Excellent,-7.307577810538421,-13.659255580357792,0.3983443550852316,-0.0327022004065398,6091.2505854587935,24.8340234061508,0.29074816572632983,0.0923074968538032,0.0,0.616944337419867,0.0,18,3,0,0,16,2
96383,-69.74,-53.50082,-53.12,1245.0,Excellent,-110.39,-77.556175,-78.58,2190.0,Excellent,-5.109701206849497,-13.95237727456328,0.3021494761832857,0.0073528214701365,4078.597005800289,33.55390193134273,0.09744503905703127,0.1908958061365876,0.0026541336243766896,0.7071068379795942,0.0006853396682662813,8,3,0,1,7,0
96384,-76.05,-56.036816,-55.45,1900.0,Excellent,-125.25,-82.2725,-83.68,3666.0,Excellent,-3.860077221508039,-13.575358218284002,0.2806414263907703,0.0327744676831673,11399.892034358609,29.975664248586217,0.049479064228669836,0.04269125023852146,0.0,0.9074558695582594,0.00037381597454924024,7,2,0,1,6,0
96446,-67.73,-61.219913,-60.67,113.0,Excellent,-96.8,-76.25663,-76.12,261.0,Excellent,-6.5632676599603474,-13.690797130598115,0.3892912442181929,-0.0826518921658414,45.96446217894554,65.09400158670985,0.24936868347604416,0.32280194615012947,0.003114445997460567,0.3916395078833346,0.03220337161374226,1,1,0,0,1,0
96447,-83.73,-61.89101,-61.71,386.0,Excellent,-118.04,-79.500404,-81.565,698.0,Excellent,-10.710252056014342,-16.845033620248042,0.7117615598734386,-0.2332627464192513,120.12437256359514,33.55048248004214,0.3226502589756022,0.5734126523718159,0.0002259395727665873,0.10139826063167821,0.0,12,2,4,0,6,2
96448,-70.63,-62.963676,-61.79,155.0,Excellent,-103.28,-76.74368,-78.8,331.0,Excellent,-9.64460460683262,-15.952613897100768,0.708367290714856,-0.2300265655218984,990.4585919516926,11.028298655221626,0.562697804955795,0.31368821896460547,0.0,0.12361397607959952,0.0,10,3,3,0,5,2
96456,-73.89,-69.45509,-70.64,110.0,Excellent,-104.33,-82.31012,-80.45,161.0,Excellent,-9.206354364456432,-16.207210309346472,0.5204533710816328,-0.089947133196681,1017.4744280048734,8.825590417727783,0.23643496054699312,0.480976191418281,0.11382411086018937,0.16521657998387004,0.0,18,4,1,1,12,4
96457,-73.19,-57.729557,-56.66,384.0,Excellent,-112.61,-78.94176,-80.06,592.0,Excellent,-10.14172666676352,-17.324710673491236,0.6678240775607033,-0.1705541487045523,291.2212731449042,6.065510734943074,0.3968287349305922,0.48956056450452706,0.009031202897605577,0.10457949766727512,0.0,28,4,0,1,24,3
96472,-74.88,-61.463104,-60.7,348.0,Excellent,-136.1,-69.36013,-64.46,825.0,Excellent,-12.210907334073616,-19.50134249170791,0.6108482751294348,-0.1345002380930191,35.03294538212758,0.7943730710478732,0.08781184651629224,0.472034499787759,0.41575863825779685,0.024395015438151892,0.0,13,4,0,0,10,3
96473,-93.33,-70.68346,-67.195,556.0,Excellent,-130.06,-88.44151,-89.62,1829.0,Excellent,-11.90867660539513,-19.136145082519736,0.5676763967886839,-0.1076343871774476,52.33969927272373,0.8139877680244796,0.12755144286724449,0.21469087871463974,0.612715843877966,0.04504183454014981,0.0,6,3,0,0,6,0
96474,-85.13,-74.69044,-74.44,183.0,Excellent,-127.01,-92.42826,-90.075,728.0,Good,-11.410793565999072,-18.5712934206443,0.720679359286863,-0.242360887064088,165.39733451341883,1.114642190714495,0.12771483412844317,0.5920733743112243,0.20555817294975604,0.07465361861057643,0.0,13,3,1,0,11,1
96475,-72.07,-52.353123,-54.36,528.0,Excellent,-131.23,-82.48888,-74.025,1832.0,Excellent,-11.868856416484904,-18.749484388083943,0.7059028601553212,-0.2362392001781684,88.21573209711444,0.9891070201491724,0.14459595441511944,0.6269489099586258,0.19025142025332528,0.03814143427267887,6.228110025058983e-05,7,3,0,1,6,0
96476,-82.77,-64.99164,-64.15,477.0,Excellent,-130.74,-83.34205,-71.8,1132.0,Excellent,-11.680041885370876,-18.43925681400601,0.7278744461262091,-0.2386961364170201,117.58964990608251,1.168502695970484,0.1718751526615379,0.5371118977319137,0.23958335368820508,0.051242738195965636,0.00018685772237778773,9,4,0,0,9,0
96477,-91.52,-84.19348,-83.91,514.0,Good,-136.1,-100.430504,-95.4,1393.0,Good,-11.774030221176869,-19.50547161766112,0.4978855877029531,-0.0500917927606132,28.25747488853248,0.8427111170866791,0.08118953627750085,0.14595965812566986,0.7301108971710084,0.04273990842582092,0.0,5,3,0,0,5,0
96478,-95.52,-89.14862,-89.41,543.0,Good,-138.13,-101.929565,-96.55,1439.0,Good,-11.816051200039318,-19.75056760288235,0.4475996107845969,-0.0078884761325508,30.63872400215444,1.0038630745594543,0.16977660426762547,0.14092860911364705,0.6474306803970611,0.03818928794747538,0.0,9,4,1,1,7,0
96479,-90.18,-82.40549,-84.84,527.0,Good,-138.06,-99.59723,-88.445,1632.0,Excellent,-11.990292922181574,-19.138675740134275,0.6260395879031558,-0.1397212305531817,45.6439808176867,1.6346421827963726,0.20811006142068958,0.5806439952098359,0.16665628618665862,0.04458965718281589,0.0,5,4,0,0,5,0
96480,-78.1,-76.65727,-76.92,154.0,Excellent,-135.41,-91.98691,-74.52,499.0,Excellent,-11.492064127220305,-19.285898048015024,0.4665799135571277,-0.0272032956430632,20.17435474609043,0.8504464944932805,0.21298687405309438,0.17898607732733926,0.5976959922154373,0.010331056404129011,0.0,6,4,1,0,5,0
